eng,spa,source,otp
raise; parent; SBJ {parent; mother; father; guardian; mentor} raises OBJ {child; daughter; son; tutee},,ono [mama],mama
be pregnant; be pregant; be gregnant; be pegnate; be pregegnant; be prregnant; be pergert; be pergenat; be peegnant; be pgrenant; be pregananant; OBJ is pregnant,,ibo <ime> [ime],ime
impregnate; inseminate; get pregnant; SBJ {impregnator} impregnates OBJ,,INCOHATIVE OF be pregnant,imeki
abort; get abortion; SBJ {aborter} gives OBJ an abortion,,CESSATIVE OF be pregnant,imenu
prosper; fare; be-well; be-good; OBJ is doing well,,yor <rere> [rērē],lele
struggle; be-bad; OBJ is not doing well,,ANTONYM OF prosper,toto
be grateful; be thankful; OBJ feels grateful to SBJ,,cmn <感激> [kan˧˩˧t͡ɕi˥],kanci
sleep; nap; be asleep; be unconscious; OBJ is sleeping,,jav <turu> [tuɽu],tulu
be awake; be concious; OBJ is awake,,ANTONYM OF sleep,liti
fall asleep; put to sleep; fall unconscious; SBJ puts OBJ to sleep,,INCOHATIVE OF sleep,tuluki
wake up; come to; SBJ (alarm clock) wakes OBJ up,,CESSATIVE OF sleep,litiki
laugh; SBJ {laugher} laughs out OBJ {laughter},,ono [ha ha],haha
burp; belch; SBJ {one who burps} burps out OBJ {burp},,ono [korop],kolopo
fart; SBJ {one who farts} farts out OBJ {fart; flatulence},,ono [pʰut],puthu
sneeze; SBJ {sneezer} sneezes out OBJ {sneeze},,ono [haˈt͡ʃuh],hacu
yawn; SBJ {one who yawns} yawns OBJ {yawn},,ono [ˈha̤ːa̤ː],hawa
hiccup; SBJ {one who hiccups} hiccups OBJ {hiccup},,ono [hik],hiki
cough; SBJ {cougher} coughs up OBJ {cough},,ono [ʡah],kaha
breathe; SBJ makes OBJ breathe,,ono [hi̤ːha̤ː],hiha
kiss; snog; make out; SBJ {kisser} kisses OBJ {kissee},,ono [mwa],mwa
swallow; suck; consume whole; SBJ {swallower} swallows OBJ {swallowed},,ono [glup a̤ː],kulpa
have sex; make love; SBJ initiates and has sex with OBJ,,spa <sexo> [ˈsekso],sekso
feel; emote; be emotional; be excited; OBJ emotionally feels IND {emotion; feeling},,zul <-zwa> [zwa],swa
be proud; OBJ feels proud of IND {pride},,epo <fieri> [fiˈeri],fieli
be ashamed; be sorry; be remorseful; regret; OBJ feels ashamed about IND {shameful},,ANTONYM OF be proud,suotu
make proud; SBJ makes OBJ feel proud about IND,,INCOHATIVE OF be proud,fieliki
shame; SBJ makes OBJ feel ashamed about IND,,CESSATIVE OF be proud,suotuki
be excited; be interested; be hype; OBJ is excited about IND {exciting},,msa <teruja> [terud͡ʒa],teluca
be disgusted; OBJ is disgusted by IND,,ANTONYM OF be excited,lotiha
"excite; interest; SBJ gets OBJ excited about IND""",,INCOHATIVE OF be excited,telucaki
"disgust; make disgusted; SBJ makes OBJ disgusted by IND""",,CESSATIVE OF be excited,lotihaki
fear; be scared; be afraid; OBJ {fearful} is afraid of IND {scary},,ben <ভয়> [b̤e̯ɔ],pyo
be angry; be mad; OBJ is angry about IND {maddening},,ANTONYM OF fear,mwe
scare; frighten; make afraid; SBJ makes OBJ afraid of IND,,INCOHATIVE OF fear,pyoki
anger; embolden; SBJ makes OBJ angry about IND,,CESSATIVE OF fear,mweki
be timid; be skittish; OBJ is easily scared,,POSSIBILITY OF fear,pyopowi
be bold; be courageous; be brave; be brash; be hot-headed; OBJ is quick to anger,,POSSIBILITY OF be angry,mwepowi
embolden; encourage; embraven; SBJ makes OBJ bolder,,INCOHATIVE OF be bold,mwepowiki
be happy; be joyful; OBJ feels happy,,ben <খুশি> [kʰuɕi],kuci
be sad; be sorrowful; be anguished; be distressed; OBJ feels sad,,ANTONYM OF be happy,nihu
bring joy; brighten; SBJ makes OBJ happier,,INCOHATIVE OF be happy,kuciki
sadden; anguish; distress; SBJ makes OBJ sadder,,CESSATIVE OF be happy,nihuki
be depressed; OBJ is chronically sad,,PROGRESSIVE OF be sad,nihucalu
surprise; astonish; shock; SBJ {surprising} surprises OBJ {surprised} with IND,,cmn <惊讶> [t͡ɕiŋ˥ja˥˩],cinya
anticipate; be prepared; be careful; be cautious; beware; OBJ {anticipative} anticipates IND {anticipated},,cmn <期待> [t͡ɕʰi˥taɪ̯˥˩],citai
build anticipation; prepare; caution; SBJ makes OBJ anticipative about IND,,INCOHATIVE OF anticipate,citaiki
lower anticipation; SBJ makes OBJ stop anticipating IND,,CESSATIVE OF anticipate,citainu
have fun; be amused; play; entertain; OBJ {entertained; audience} is entertained by IND {show; entertainment} {TIME:performance; game; show},,ben <মজা> [mɔd͡ʑa],moca
be bored; OBJ is bored by IND {boring},,ANTONYM OF have fun,peha
entertain; make fun; SBJ {entertainer} makes OBJ be entertained by IND,,INCOHATIVE OF have fun,mocaki
bore; tire; kill joy; SBJ makes OBJ be bored by IND,,CESSATIVE OF have fun,pehaki
be fatigued; be *tired; OBJ is fatigued,,cmn <累> [leɪ̯˥˩],le
be rested; be energetic; be bright; have a bushy tail; OBJ is well-rested,,ANTONYM OF be fatigued,to
fatigue; tire; burn out; SBJ {tiring} makes OBJ tired,,INCOHATIVE OF be fatigued,leki
rest; recharge; SBJ makes OBJ feel rested,,CESSATIVE OF be fatigued,toki
feel *pleasure; feel good; feel satisfied; feel euphoria; OBJ {satisfied} feels pleased about IND {satisfying},,swa <radhi> [ɾaði],lasi
hurt; be in pain; IND {pain; place where it hurts} hurts OBJ,,ANTONYM OF feel pleasure,tafu
please; satisfy; soothe; SBJ makes OBJ feel pleased by IND,,INCOHATIVE OF feel pleasure,lasiki
torture; inflict pain; SBJ {torturer} causes OBJ to be pained by IND,,CESSATIVE OF feel pleasure,tafuki
worry; bother; trouble; concern; IND {problem; trouble; issue} troubles OBJ {worried; bothered},,eng <worry> [ˈwɚɹʷi],wawi
relieve; calm; reassure; IND {relief} gives OBJ {soothed} relieved feelings,,ANTONYM OF worry,yayu
make worried; make bothered; SBJ {[https://xkcd.com/1015/]} causes OBJ to be bothered by IND,,INCOHATIVE OF worry,wawiki
assuage; sooth; relieve; calm; SBJ {reliever} causes OBJ to feel relieved by IND,,CESSATIVE OF worry,yayuki
be likely; be normal; be common; be unremarkable; be expectable; OBJ is likely true {AMOUNT:P-value},,cmn <容易> [ɻʊŋ˧˥i˥˩],luni
be unlikely; be weird; be rare; be strange; be remarkable; be unexpected; OBJ {coincidence} is unlikely {AMOUNT:rarity; weirdness},,ANTONYM OF be likely,tiku
increase chances; explain away; favour; SBJ makes OBJ more likely,,INCOHATIVE OF be likely,luniki
decrease chances; find coincidence; SBJ makes OBJ less likely,,CESSATIVE OF be likely,tikuki
correspond; match; be respective; OBJ corresponds to IND,,msa <sama> [sama],sama
be sharp; be clear; OBJ {edge; blade} is sharp,,epo <akra> [ˈakra],akla
be dull; be blunt; be blurry; be nebulous; OBJ is dull,,ANTONYM OF be sharp,anta
sharpen; clarify; SBJ sharpens OBJ {INSTRUMENT:sharpener},,INCOHATIVE OF be sharp,aklaki
dull; blur; SBJ dulls OBJ,,CESSATIVE OF be sharp,antaki
be strong; be forceful; OBJ is capable of exerting a lot of force {AMOUNT:strength; force},,ibo <ike> [ike],ike
be weak; be wimpy; OBJ is not capable of exerting very much force,,ANTONYM OF be strong,uno
strengthen; exercise; SBJ {strengthener; trainer} strengthens OBJ,,INCOHATIVE OF be strong,ikeki
weaken; SBJ {weakener; junk food} weakens OBJ,,CESSATIVE OF be strong,unoki
study; measure; conduct science; investigate; observe; experiment; test; research; SBJ {scientist} uses empirical observation to learn the answer to or more about OBJ {science; field of study; big question; the body of knowledge formed by the scientific process} {LOCATION:laboratory; lab|INSTRUMENT:measuring device; instrument; meter},,swa <soma> [soma],soma
employ *technology; engineer; SBJ {engineer} uses technical skills and fine problem-solving to solve OBJ {technical problem} {INSTRUMENT:technology},,cmn <技术> [t͡ɕi˥˩ʂu˥˩],cicu
be magical; do magic; SBJ {magician; sorcerer; wizard} makes OBJ {magic trick; spell} happen magically {INSTRUMENT:magic},,hin <जादुई> [d͡ʒaːduiː],catui
hit; strike; collide; SBJ hits OBJ {INSTRUMENT:hammer},,epo <bati> [ˈbati],pati
"pop; clap; slap; tick; spark; SBJ makes OBJ {clap; slap; tick; spark; flash; a sudden, loud, shrill sound or action}",,ono [kʰ],kehe
"boom; crash; SBJ makes OBJ {boom; crash; a sudden, loud, sonorous sound or action}",,ono [bum],puma
"screech; wail; whistle; SBJ makes OBJ {screech; wail; whistle; a drawn-out, shrill sound or action}",,ono [fwiː],fwi
"hum; buzz; SBJ makes OBJ {hum; buzz; a drawn-out, sonorous sound or action}",,ono [mː],mumu
"chatter; wobble; rustle; rattle; SBJ makes OBJ {chatter; wobble; rustle; rattle; a noisy, shrill sound or action}",,ono [t͡ʃət͡ʃə],cece
"rumble; flicker; SBJ makes OBJ {rumble; flicker; a noisy, sonorous sound or action}",,ono [wumba],wompa
cook; prepare; make; boil; steam; broil; marinate; grill; smoke; bake; toast; microwave; SBJ {cook; chef; baker} cooks OBJ {cooking} {INSTRUMENT:pot; pan},,xho <-pheka> [pʰɛka],peka
help; be for; ally; support; benefit; work with; be auxiliary; OBJ {helper} is working toward the same goal as IND {ally; friend},,cmn <帮助> [pɑŋ˥ʈ͡ʂu˥˩],pancu
hinder; be against; oppose; harm; compete; fight; counter; OBJ {opposer} is working toward a goal contrary to that of IND {opponent; competitor; enemy},,ANTONYM OF help,makhi
align with; join; team up; SBJ {alliance forger} makes OBJ ally with IND,,INCOHATIVE OF help,pancuki
turn against; betray; split up; SBJ {instigator} turns OBJ {traitor} against IND,,CESSATIVE OF help,makhiki
fight; battle; OBJ {fighter; warrior} is in a violent engagement with IND {adversary; opponent} {INSTRUMENT:weapon|TIME:battle},,xho <-lwa> [lwa],lwa
attack; sick; aggravate; SBJ {attacker} causes OBJ to fight IND,,INCOHATIVE OF fight,lwaki
make peace; call off; deescalate; SBJ {peace maker} causes OBJ to stop fighting IND,,CESSATIVE OF fight,lwanu
win; beat; lose; SBJ {winner; victor} wins OBJ {contest; game} against IND {loser; defeated},,spa <gana> [ˈɡana],kana
be rotten; OBJ is rotten,,ben <পচা> [pɔt͡ɕa],poca
be fresh; OBJ is fresh,,ANTONYM OF be rotten,meha
rot; SBJ rots OBJ,,INCOHATIVE OF be rotten,pocaki
freshen; SBJ freshens OBJ,,CESSATIVE OF be rotten,mehaki
be mixed; be impure; be tainted; permeate; IND {solute} is mixed into OBJ {solvent} {LOCATION:mixer; mixing pot},,ben <মিশ্র> [miɕrɔ],miclo
be pure; OBJ is pure of IND,,ANTONYM OF be mixed,puhte
mix; taint; pollute; disolve; infuse; SBJ mixes IND into OBJ,,INCOHATIVE OF be mixed,micloki
purify; precipitate; extract; SBJ purifies OBJ of IND {precipitate; extract},,CESSATIVE OF be mixed,puhteki
be healthy; OBJ is healthy {AMOUNT:health},,epo <sani> [ˈsani],sani
be sick; be ill; OBJ is sick {METHOD:sickness; disease; illness},,ANTONYM OF be healthy,faku
heal; treat; SBJ {doctor; healer} heals OBJ {patient} {INSTRUMENT:medicine},,INCOHATIVE OF be healthy,saniki
sicken; poison; SBJ {poisoner} sickens OBJ {poisoned} {INSTRUMENT:poison},,CESSATIVE OF be healthy,fakuki
be married; OBJ is married to IND {spouse},,yor <ìyàwó> [ìjáwó],iawo
marry; wed; SBJ marries OBJ to IND {TIME:wedding},,INCOHATIVE OF be married,iawoki
divorce; SBJ divorces OBJ from IND,,CESSATIVE OF be married,iawonu
function; work; go; OBJ does what it is supposed to do,,yor <isẹ> [isɛ],ise
be functional; be effective; work; OBJ works,,POSSIBILITY OF function,isepowi
be nonfunctional; be broken; be incapacitated; OBJ does not work,,NEGATIVE OF be functional,isepowinyo
beI serious; admire; respect; awe; OBJ {in awe; respectful} takes IND {admired; awesome} seriously,,spa <serio> [ˈseɾjo],selyo
beI funny; amuse; beI silly; be ironic; goof off; IND {amusing} is funny to OBJ {goof},,ANTONYM OF be serious,fotwe
awe; command respect; SBJ makes OBJ take IND seriously,,INCOHATIVE OF be serious,selyoki
mock; make fun; SBJ makes OBJ stop taking IND seriously,,CESSATIVE OF be serious,fotweki
cost; be expensive; OBJ {valuable} costs a lot {AMOUNT:price; cost},,epo <kosti> [ˈkosti],kosti
be cheap; OBJ does not cost a lot,,ANTONYM OF be expensive,neflu
mark up; SBJ increases the cost of OBJ,,INCOHATIVE OF be expensive,kostiki
discount; mark down; SBJ decreases the cost of OBJ,,CESSATIVE OF be expensive,nefluki
have faith; be faithful; hope; OBJ faithfully believes in IND {faith; belief} {AMOUNT:faith; faithfulness|METHOD:religion; faith},,epo <fidi> [ˈfidi],fiti
give faith; take faith; build up hope; SBJ causes OBJ to gain faith in IND,,INCOHATIVE OF have faith,fitiki
lose faith; destroy faith; lose hope; SBJ causes OBJ to lose faith in IND,,CESSATIVE OF have faith,fitinu
be tangled; be knotted; OBJ {knot} is tangled together with IND,,ben <জট> [d͡ʑɔtɔ],coto
tie; knot; tangle; SBJ ties OBJ to IND,,INCOHATIVE OF be tangled,cotoki
untie; unknot; untangle; SBJ unties OBJ from IND,,CESSATIVE OF be tangled,cotonu
touch; meet; OBJ {touching} and IND are so close to each other that they cannot physically get any closer (please don't get tecnical with my definition of this) {LOCATION:joint; corner; intersection; edge},,spa <toca> [ˈtoka],toka
touch; join; SBJ touches OBJ to IND,,INCOHATIVE OF touch,tokaki
cut; separate; divide; split; SBJ makes OBJ stop touching IND {INSTRUMENT:knife; wedge|LOCATION:gap; separation; cut; split},,CESSATIVE OF touch,tokanu
be across; be transverse; straddle; be perpendicular; OBJ is across IND {crossed} {AMOUNT:transverseness; obliqueness},,ben <দিয়ে> [d̪ie̯e],tie
be along; be longitudinal; be with; be parallel; OBJ is along IND,,ANTONYM OF be across,luo
cross; move across; pass; SBJ makes OBJ cross IND {LOCATION:intersection; cross},,INCOHATIVE OF be across,tieki
align; move along; move with; SBJ makes OBJ go along IND,,CESSATIVE OF be across,luoki
hunt; chase; pursue; SBJ {hunter} hunts for OBJ {hunted},,epo <ĉasi> [ˈt͡ʃasi],casi
deserve; be entitled; OBJ {worthy; deserving; entitled} deserves IND {dessert},,cmn <应受> [iŋ˥ʂoʊ̯˥˩],inco
earn; SBJ makes OBJ deserve IND,,INCOHATIVE OF deserve,incoki
lose privelage; SBJ makes OBJ stop deserving IND,,CESSATIVE OF deserve,inconu
be steep; OBJ is steep {AMOUNT:slope},,ben <খাড়া> [kʰaɽa],kala
be gentle; be flat; be shallow; be gradual; OBJ is not very steep,,ANTONYM OF be steep,nata
steepen; tilt; rock; SBJ steepens OBJ,,INCOHATIVE OF be steep,kalaki
flatten; right; SBJ makes OBJ less steep,,CESSATIVE OF be steep,nataki
be tense; be intense; be under pressure; OBJ is under pressure {AMOUNT:pressure},ser *tenso; ser intenso; estar bajo presión; OBJ es tenso,spa <tenso> [ˈtenso],tenso
be relaxed; be lax; be chill; OBJ is not under pressure,,ANTONYM OF be tense,lokfe
tense up; intensify; pressurise; SBJ puts OBJ under pressure,,INCOHATIVE OF be tense,tensoki
relax; take off pressure; SBJ takes pressure off of OBJ,,CESSATIVE OF be tense,lokfeki
choose; decide; SBJ {arbitrator} chooses OBJ {choice; decision},,spa <elige> [eˈlixe],elehe
be natural; OBJ {nature} is natural,,epo <natura> [naˈtura],natula
be artificial; be unnatural; OBJ is artificial,,ANTONYM OF be natural,kalita
naturalise; SBJ makes OBJ become natural,,INCOHATIVE OF be natural,natulaki
process; artificialise; SBJ makes OBJ become artificial,,CESSATIVE OF be natural,kalitaki
be amazing; be extreme; be incredible; be absurd; OBJ is to a very high degree,,swa <ajabu> [aʄaɓu],acapu
be average; be meh; be moderate; OBJ is to a low degree,,ANTONYM OF be amazing,ahami
be widespread; be prevalent; be expansive; OBJ exists in many places {AMOUNT:prevalence},,sot <atile> [ɑtʼile],atile
be confined; be rare; OBJ exists in few places,,ANTONYM OF be widespread,aluto
spread; expand; copy; advertise; SBJ {spreader} spreads OBJ {spread},,INCOHATIVE OF be widespread,atileki
extinguish; erase; confine; recede; SBJ {extinguisher} makes OBJ less prevalent,,CESSATIVE OF be widespread,alutoki
be contagious; OBJ is contagious,,POSSIBILITY OF spread,atilekipowi
push; repell; SBJ {force} pushes on OBJ {pushed},,epo <puŝi> [ˈpuʃi],puci
pull; attract; SBJ {attraction} pulls on OBJ {pulled},,REVERSAL OF push,mihu
be infinite; OBJ {infinity} is infinitely so,,ben <অসীম> [os̪im],osimi
be specific; be particular; OBJ is specific,,cmn <具体> [t͡ɕy˥˩tʰi˧˩˧],ciwti
be general; be vague; OBJ is general,,ANTONYM OF be specific,huylu
specify; identify; SBJ specifies OBJ,,INCOHATIVE OF be specific,ciwtiki
generalise; SBJ generalises OBJ,,CESSATIVE OF be specific,huyluki
take up; consume; hold; occupy; OBJ {slot; space; resource} is taken up by IND {allocation},,hin <लेना> [lenaː],lena
allocate; allot; spend; SBJ allocates OBJ to IND,,INCOHATIVE OF take up,lenaki
free; revoke; SBJ frees up OBJ from IND,,CESSATIVE OF take up,lenanu
